area_type,availability,size,society,total_sqft,bath,balcony,price,site_location
Super built-up  Area,Ready To Move,2 BHK,Maidei ,1050,2,2,48,Sultan Bagh
Plot  Area,Ready To Move,4 Bedroom,,1200,4,3,195,Sultan Bagh
Super built-up  Area,Ready To Move,2 BHK,Teilsaf,1100,2,1,70,Sultan Bagh
Built-up  Area,Ready To Move,2 BHK,JahanSa,735,2,1,35,Sultan Bagh
Super built-up  Area,Ready To Move,2 BHK,,1350,2,3,49,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,Briumri,1652,3,2,70,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,Mayne A,1255,2,2,79,Sultan Bagh
Carpet  Area,Ready To Move,2 BHK,,900,2,1,60,Sultan Bagh
Plot  Area,Ready To Move,6 Bedroom,,600,7,2,63,Sultan Bagh
Super built-up  Area,18-Jul,2 BHK,Soresea,1205.47,2,1,81,Sultan Bagh
Super built-up  Area,Ready To Move,2 BHK,BaiseBa,1080,2,2,55,Sultan Bagh
Built-up  Area,Ready To Move,2 BHK,,963,2,2,40,Sultan Bagh
Built-up  Area,Ready To Move,2 BHK,,1100,2,1,46,Sultan Bagh
Super built-up  Area,Ready To Move,4 BHK,,1200,6,3,70,Sultan Bagh
Built-up  Area,Ready To Move,3 BHK,Clint E,1900,4,2,145,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,,1436,3,3,70,Sultan Bagh
Super built-up  Area,Ready To Move,2 BHK,Gaodsch,1182,2,2,82.5,Sultan Bagh
Super built-up  Area,Ready To Move,2 BHK,,1250,2,3,39,Sultan Bagh
Super built-up  Area,18-Dec,2 BHK,Vaharvi,1200,2,1,48,Sultan Bagh
Super built-up  Area,Ready To Move,2 BHK,Seasare,1096,2,2,48,Sultan Bagh
Built-up  Area,Ready To Move,6 Bedroom,,675,6,2,125,Sultan Bagh
Super built-up  Area,18-Dec,1 BHK,Shitt S,755,1,1,42.41,Sultan Bagh
Super built-up  Area,19-Sep,4 BHK,Prtates,2882,5,1,204,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,Dovel M,1590,3,0,120,Sultan Bagh
Built-up  Area,Ready To Move,3 BHK,Names H,1539,2,2,52.36,Sultan Bagh
Plot  Area,Ready To Move,2 Bedroom,,1000,1,1,75,Sultan Bagh
Super built-up  Area,Ready To Move,2 BHK,SSthamh,1205,2,1,40,Sultan Bagh
Super built-up  Area,18-Mar,4 BHK,Rosha I,1974,4,0,106,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,MGBay T,1610,2,2,55,Sultan Bagh
Plot  Area,Ready To Move,6 Bedroom,,3Cents,6,3,75,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,,1465,2,2,49.81,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,HRaniIb,1645,3,1,100,Sultan Bagh
Super built-up  Area,19-Jun,4 BHK,Raard B,2790,5,3,204,Sultan Bagh
Super built-up  Area,Ready To Move,2 BHK,Vrensn ,1130,2,2,60,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,NRncyrk,2127,3,2,135,Sultan Bagh
Built-up  Area,Ready To Move,3 BHK,Saowson,1595,2,3,75,Sultan Bagh
Plot  Area,Ready To Move,3 Bedroom,Hincy V,950,3,2,130,Sultan Bagh
Plot  Area,Ready To Move,2 Bedroom,,1200,2,0,75,Sultan Bagh
Built-up  Area,Ready To Move,2 BHK,Varala ,935,2,1,51.5,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,AbnceEs,2108,3,3,85,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,DSndsod,1660,2,2,116,Sultan Bagh
Built-up  Area,Ready To Move,1 BHK,,638,1,1,32,Sultan Bagh
Super built-up  Area,Ready To Move,2 BHK,SLestde,1230,2,2,70,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,,1270,2,1,50.79,Sultan Bagh
Plot  Area,Ready To Move,3 Bedroom,,1500,4,1,99,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,Goty  E,1631,3,2,80,Sultan Bagh
Plot  Area,Ready To Move,2 Bedroom,,900,2,0,49,Sultan Bagh
Super built-up  Area,18-Jun,3 BHK,,1275,2,2,43.6,Sultan Bagh
Super built-up  Area,Ready To Move,4 BHK,SoineJa,2990,4,,240,Sultan Bagh
Super built-up  Area,18-Aug,2 BHK,GoityEt,1283,2,2,68,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,Paestol,1800,3,1,70,Sultan Bagh
Super built-up  Area,19-Jul,2 BHK,Vaharvi,1200,2,1,57.9,Sultan Bagh
Super built-up  Area,Ready To Move,2 BHK,SrncyRe,1040,2,1,41.59,Sultan Bagh
Built-up  Area,Ready To Move,2 BHK,PavanSa,850,1,0,35.5,Sultan Bagh
Built-up  Area,18-Dec,3 BHK,,1991,3,2,104,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,Silusti,1250,2,2,70,Sultan Bagh
Built-up  Area,Ready To Move,3 BHK,Niara S,1400,2,3,45,Sultan Bagh
Super built-up  Area,17-Oct,3 BHK,Naiewre,1510,3,3,47.57,Sultan Bagh
Plot  Area,Ready To Move,4 Bedroom,Adeatlm,5400,4,2,750,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,Dhalsh ,1565,2,2,56.34,Sultan Bagh
Super built-up  Area,Ready To Move,2 BHK,Jae 2hu,656,2,1,25,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,,1450,3,2,75,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,,1150,3,2,45,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,MoaveEn,1280,2,3,55,Sultan Bagh
Super built-up  Area,Ready To Move,2 BHK,Vaodspe,877,2,1,29,Sultan Bagh
Plot  Area,Ready To Move,3 Bedroom,,2100,3,0,70,Sultan Bagh
Super built-up  Area,Ready To Move,2 BHK,,1050,2,1,43.5,Sultan Bagh
Plot  Area,18-Aug,2 Bedroom,,1000,2,1,42,Sultan Bagh
Super built-up  Area,Ready To Move,2 BHK,SSaleRo,1016,2,1,45,Sultan Bagh
Super built-up  Area,18-May,2 BHK,,1040,2,2,36.84,Sultan Bagh
Super built-up  Area,18-Dec,2 BHK,,849,2,2,25.4,Sultan Bagh
Super built-up  Area,18-Jan,2 BHK,Muistry,1180,2,2,55,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,,2392,3,2,249,Sultan Bagh
Super built-up  Area,Ready To Move,2 BHK,MenueNo,1185,2,2,42,Sultan Bagh
Super built-up  Area,Ready To Move,2 BHK,,1172,2,2,75,Sultan Bagh
Plot  Area,Ready To Move,5 Bedroom,,750,3,1,95,Sultan Bagh
Super built-up  Area,19-Apr,2 BHK,Sisice ,860,2,1,28.93,Sultan Bagh
Super built-up  Area,Ready To Move,2 BHK,,1190,2,2,59.9,Sultan Bagh
Super built-up  Area,Ready To Move,2 BHK,KBityo ,825,2,1,35,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,Eladero,1680,3,2,112,Sultan Bagh
Built-up  Area,Ready To Move,2 BHK,Saeraep,1020,2,1,70,Sultan Bagh
Super built-up  Area,Ready To Move,2 BHK,IBityin,1164,2,2,64.08,Sultan Bagh
Carpet  Area,20-Dec,1 BHK,Roiti A,381 - 535,1,0,33.66,Sultan Bagh
Super built-up  Area,Ready To Move,2 BHK,VBownre,957,2,1,55,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,,1850,3,2,150,Sultan Bagh
Super built-up  Area,Ready To Move,4 BHK,VSaya A,3000,4,0,134,Sultan Bagh
Super built-up  Area,20-Dec,2 BHK,Myple M,1045,2,1,40.65,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,,1704,3,2,94.36,Sultan Bagh
Built-up  Area,Ready To Move,1 BHK,,410,1,1,15,Sultan Bagh
Built-up  Area,Ready To Move,2 BHK,Juoryma,985,2,1,45,Sultan Bagh
Super built-up  Area,19-Dec,4 BHK,Priesla,3626,5,3,788,Sultan Bagh
Built-up  Area,Ready To Move,2 BHK,Suwerlo,970,2,1,52.5,Sultan Bagh
Super built-up  Area,21-Dec,3 BHK,PrarePa,1100,3,2,53,Sultan Bagh
Super built-up  Area,Ready To Move,2 BHK,MenueNo,1185,2,2,43.5,Sultan Bagh
Super built-up  Area,18-May,2 BHK,BMineis,1235,2,2,44.5,Sultan Bagh
Super built-up  Area,18-Feb,3 BHK,MNtha A,1602,3,2,56,Sultan Bagh
Plot  Area,18-Apr,4 Bedroom,,1200,4,1,105,Sultan Bagh
Built-up  Area,Ready To Move,7 Bedroom,,3200,7,0,150,Sultan Bagh
Built-up  Area,Ready To Move,4 BHK,,2450,3,2,110,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,Bhmesy ,1573,3,2,115,Sultan Bagh
Super built-up  Area,Ready To Move,4 BHK,,3000,5,3,500,Sultan Bagh
Built-up  Area,Ready To Move,3 BHK,Prandm ,1650,3,1,180,Sultan Bagh
Super built-up  Area,18-Sep,3 BHK,SunceEs,1305,3,1,33.28,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,SoisoCa,2087.01,4,2,160,Sultan Bagh
Super built-up  Area,Ready To Move,3 BHK,AkonyHa,1435,2,2,115,Sultan Bagh
Built-up  Area,Ready To Move,2 BHK,Arnis A,1000,2,0,50,Sultan Bagh
Super built-up  Area,19-Dec,2 BHK,SheldGr,1165,2,1,51.42,Sultan Bagh
Built-up  Area,Ready To Move,3 Bedroom,,1200,3,0,190,Sultan Bagh
Built-up  Area,Ready To Move,3 Bedroom,,1650,2,1,130,Sultan Bagh
Built-up  Area,18-Dec,3 Bedroom,,1800,3,1,84,Sultan Bagh
Built-up  Area,Ready To Move,3 BHK,SoechHa,2395,4,2,150,Sultan Bagh
Built-up  Area,Ready To Move,3 BHK,Viony H,2511,3,3,205,Ammuguda
Super built-up  Area,Ready To Move,3 BHK,GMown E,1350,2,1,56,Ammuguda
Super built-up  Area,Ready To Move,3 BHK,Prillot,1804,3,2,120,Ammuguda
Super built-up  Area,18-Mar,1 BHK,Siissi ,530,1,0,11.66,Ammuguda
Super built-up  Area,18-May,3 BHK,Sryalan,1220,2,1,35.23,Ammuguda
Super built-up  Area,21-Dec,1 BHK,PrarePa,525,1,1,27.25,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,,1210,2,2,58,Ammuguda
Plot  Area,Ready To Move,4 Bedroom,RMaanSa,4300,5,2,550,Ammuguda
Plot  Area,Ready To Move,4 Bedroom,,1200,3,,95,Ammuguda
Super built-up  Area,Ready To Move,4 Bedroom,PrOakSi,3606 - 5091,,,304,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,Gruesaf,1209,2,1,50,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,Shateor,1255,2,1,52.32,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,Sothin ,856,2,3,40,Ammuguda
Plot  Area,Ready To Move,4 Bedroom,,2000,4,0,120,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,,620,2,1,22,Ammuguda
Super built-up  Area,Ready To Move,3 BHK,DNeremo,1610,2,2,111,Ammuguda
Super built-up  Area,18-Dec,3 BHK,Sanzaat,1564,2,1,92,Ammuguda
Super built-up  Area,Ready To Move,3 BHK,GaicaVe,1750,3,2,84,Ammuguda
Built-up  Area,Ready To Move,2 BHK,,1070,2,1,55,Ammuguda
Super built-up  Area,Ready To Move,3 BHK,Prlla C,1743,3,2,85,Ammuguda
Super built-up  Area,18-Jul,3 BHK,,1550,3,3,110,Ammuguda
Super built-up  Area,18-Apr,1 BHK,Prtates,950,1,1,50,Ammuguda
Plot  Area,Ready To Move,4 Bedroom,,1350,4,1,200,Ammuguda
Plot  Area,Ready To Move,4 Bedroom,,3200,4,2,1200,Ammuguda
Built-up  Area,16-Mar,2 Bedroom,,2200,2,0,62,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,PrityTr,1139,2,2,56.85,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,M denGa,1153,2,1,48.5,Ammuguda
Super built-up  Area,Ready To Move,3 BHK,ShourSp,1370,2,2,75,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,Sorta S,1450,2,1,58,Ammuguda
Plot  Area,Immediate Possession,,Ajleyor,1500 - 2400,,,46.8,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,,1365,2,2,73,Ammuguda
Plot  Area,Ready To Move,4 Bedroom,,600,4,1,81,Ammuguda
Super built-up  Area,Ready To Move,3 BHK,Sonosty,1570,3,1,105,Ammuguda
Plot  Area,Ready To Move,4 Bedroom,,1000,4,1,75,Ammuguda
Plot  Area,Ready To Move,3 Bedroom,,440,3,0,50,Ammuguda
Super built-up  Area,Ready To Move,3 BHK,,1600,3,3,160,Ammuguda
Plot  Area,Ready To Move,3 Bedroom,,1200,3,2,130,Ammuguda
Built-up  Area,Ready To Move,4 BHK,,3126,4,,120,Ammuguda
Plot  Area,Ready To Move,3 Bedroom,AreraRe,1200,3,1,120,Ammuguda
Plot  Area,Ready To Move,5 Bedroom,,1200,4,1,160,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,Suurtni,1400,2,2,168,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,,1141,2,2,49,Ammuguda
Super built-up  Area,Ready To Move,4 BHK,PueraRi,4000,4,3,220,Ammuguda
Super built-up  Area,Ready To Move,3 BHK,SosonGa,1500,3,3,100,Ammuguda
Super built-up  Area,Ready To Move,3 BHK,MJarlPe,1530,2,1,97,Ammuguda
Super built-up  Area,Ready To Move,1 BHK,IBityin,669,1,1,36.85,Ammuguda
Built-up  Area,Ready To Move,2 Bedroom,,580,2,0,95,Ammuguda
Plot  Area,Ready To Move,4 Bedroom,,4000,4,1,650,Ammuguda
Super built-up  Area,19-Mar,3 BHK,Raard B,1645,3,2,117,Ammuguda
Super built-up  Area,Ready To Move,3 BHK,Samittv,2320,3,2,170,Ammuguda
Built-up  Area,18-Aug,2 BHK,Sryalan,1140,2,1,33.06,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,Saitya ,1342,2,2,115,Ammuguda
Super built-up  Area,22-Mar,3 BHK,,1254,2,2,70,Ammuguda
Plot  Area,Ready To Move,6 Bedroom,,800,6,2,98,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,Goezell,1180,2,2,40,Ammuguda
Super built-up  Area,19-Mar,2 BHK,Puachal,1341,2,1,75.76,Ammuguda
Super built-up  Area,Ready To Move,3 BHK,Vaensia,1360,2,3,85,Ammuguda
Plot  Area,Ready To Move,2 Bedroom,SVoutow,1006,2,1,57,Ammuguda
Built-up  Area,Ready To Move,2 BHK,,870,2,1,65,Ammuguda
Super built-up  Area,Ready To Move,4 BHK,Brglede,2010,3,2,125,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,Shers S,1200,2,1,60,Ammuguda
Plot  Area,Ready To Move,5 Bedroom,,875,5,3,120,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,Hiestre,1000,2,2,53,Ammuguda
Built-up  Area,Ready To Move,7 Bedroom,,2800,7,1,250,Ammuguda
Built-up  Area,Ready To Move,3 BHK,Pyvenas,1100,2,2,52,Ammuguda
Super built-up  Area,18-Apr,3 BHK,,2197,3,2,136,Ammuguda
Super built-up  Area,Ready To Move,3 BHK,Bregae ,1650,3,2,101,Ammuguda
Super built-up  Area,Ready To Move,3 BHK,SJmesst,1549,3,2,80,Ammuguda
Plot  Area,Ready To Move,9 Bedroom,,1200,7,3,95,Ammuguda
Super built-up  Area,Ready To Move,3 BHK,MBaleRo,1350,2,1,75,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,,1050,2,2,47.25,Ammuguda
Built-up  Area,Ready To Move,2 BHK,,1025,2,0,42.5,Ammuguda
Super built-up  Area,21-Dec,1 BHK,PrarePa,525,1,1,27.5,Ammuguda
Built-up  Area,19-Dec,3 Bedroom,,1830,3,1,88,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,Avlls H,1060,2,1,48,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,Usquaya,1035,2,2,49,Ammuguda
Built-up  Area,Ready To Move,3 BHK,Assha A,875,2,2,40,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,DSpazTo,1088,2,2,48,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,,1200,2,1,54,Ammuguda
Super built-up  Area,18-Jun,2 BHK,,1125,2,2,36.94,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,,1100,2,2,32,Ammuguda
Super built-up  Area,Ready To Move,3 BHK,PaontWa,1779,3,2,90,Ammuguda
Super built-up  Area,19-Jun,3 BHK,Raard B,1645,3,2,117,Ammuguda
Super built-up  Area,Ready To Move,4 BHK,MNnia E,2330,3,2,94.71,Ammuguda
Super built-up  Area,Ready To Move,4 BHK,Taonte ,3033,4,1,326,Ammuguda
Super built-up  Area,Ready To Move,1 BHK,,775,1,0,39,Ammuguda
Built-up  Area,Ready To Move,2 BHK,,940,2,1,56,Ammuguda
Built-up  Area,Ready To Move,1 BHK,Jae 2hu,400,1,1,11.5,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,VBownre,957,2,2,54.5,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,VSineDi,770,1,1,70,Ammuguda
Built-up  Area,Ready To Move,2 BHK,,1170,2,2,59,Ammuguda
Built-up  Area,Ready To Move,3 BHK,Paony H,1770,4,1,68,Ammuguda
Built-up  Area,Ready To Move,3 BHK,VmlleRo,1470,3,2,54,Ammuguda
Super built-up  Area,Ready To Move,3 BHK,LuncyRe,1800,3,2,53,Ammuguda
Built-up  Area,Ready To Move,1 BHK,,400,1,1,11.5,Ammuguda
Super built-up  Area,19-Dec,3 BHK,Ceezey ,1816,3,1,119,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,BrdgeNo,1290,2,1,85,Ammuguda
Plot  Area,Ready To Move,3 Bedroom,,1555,3,1,100,Ammuguda
Super built-up  Area,21-Jan,3 BHK,Sapus S,1441,2,1,95,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,Gaent R,900,2,2,35,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,,1060,2,1,46,Ammuguda
Plot  Area,Ready To Move,3 Bedroom,,500,2,1,75,Ammuguda
Super built-up  Area,Ready To Move,3 BHK,Ayaya A,1270,2,2,55.25,Ammuguda
Super built-up  Area,18-Jun,2 BHK,,1007,2,1,64,Ammuguda
Super built-up  Area,18-Apr,2 BHK,Prarkun,1128,2,1,65.45,Ammuguda
Super built-up  Area,18-Dec,4 BHK,Nileyap,4025,6,1,350,Ammuguda
Plot  Area,Ready To Move,2 Bedroom,,1500,2,0,90,Ammuguda
Built-up  Area,Ready To Move,3 BHK,,1310,2,1,70,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,Vaodak ,1410,2,2,73,Ammuguda
Built-up  Area,Ready To Move,4 Bedroom,,3500,4,0,150,Ammuguda
Built-up  Area,Ready To Move,2 BHK,NaensGa,890,2,2,45,Ammuguda
Built-up  Area,Ready To Move,2 BHK,Alarke ,1091,2,1,40,Ammuguda
Built-up  Area,Ready To Move,2 BHK,Prngshi,1300,2,2,28,Ammuguda
Super built-up  Area,Ready To Move,4 BHK,Varve R,3535,4,2,215,Ammuguda
Built-up  Area,Ready To Move,3 BHK,,1275,2,2,88,Ammuguda
Built-up  Area,18-Apr,3 BHK,Bhmesy ,1573,3,1,90,Ammuguda
Built-up  Area,Ready To Move,4 Bedroom,,3300,4,2,135,Ammuguda
Super built-up  Area,Ready To Move,6 BHK,,5100,7,,225,Ammuguda
Built-up  Area,18-Dec,2 BHK,,1125,2,1,32.49,Ammuguda
Carpet  Area,19-Jun,4 BHK,Kolisl ,2282,4,0,115,Ammuguda
Super built-up  Area,Ready To Move,3 BHK,,2145,3,2,170,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,TNnumla,1275,2,3,55,Ammuguda
Built-up  Area,20-Dec,1 BHK,,793,1,1,40,Ammuguda
Super built-up  Area,Ready To Move,4 BHK,Prersis,2375,4,2,189,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,MAnceun,1190,2,1,42,Ammuguda
Plot  Area,17-Dec,4 Bedroom,,1200,4,0,120,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,Ahriaup,1026,2,1,60.8,Ammuguda
Plot  Area,Ready To Move,4 Bedroom,,1600,4,3,250,Ammuguda
Plot  Area,Ready To Move,3 Bedroom,Prleaou,5656,5,0,499,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,,1190,2,2,46.41,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,MancyRe,1200,2,1,47,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,,1092,2,2,44,Ammuguda
Plot  Area,Ready To Move,6 Bedroom,Adowslm,4000,5,1,540,Ammuguda
Super built-up  Area,Ready To Move,3 BHK,,1310,3,1,63.25,Ammuguda
Plot  Area,Ready To Move,6 Bedroom,,625,3,3,78,Ammuguda
Super built-up  Area,Ready To Move,2 BHK,UKe 2nz,1495,2,1,78,Ammuguda
Built-up  Area,Ready To Move,4 BHK,,2872,4,3,183,Ammuguda
Super built-up  Area,Ready To Move,3 BHK,Aklia R,1590,3,2,57,Ammuguda
Built-up  Area,Ready To Move,2 BHK,,460,1,0,22,Machabolaram
Super built-up  Area,Ready To Move,3 BHK,Srshq T,1550,3,3,65,Machabolaram
Super built-up  Area,Ready To Move,2 BHK,,913,2,1,32,Machabolaram
Built-up  Area,Ready To Move,2 BHK,,1205,2,3,66,Machabolaram
Super built-up  Area,Ready To Move,2 BHK,RKntsrt,850,2,1,30,Machabolaram
Built-up  Area,Ready To Move,2 BHK,Jae 2hu,656,2,1,25,Machabolaram
Super built-up  Area,20-Oct,3 BHK,PrarePa,1100,2,1,58,Machabolaram
Super built-up  Area,18-Dec,3 BHK,Prtates,2280,4,2,126,Machabolaram
Super built-up  Area,Ready To Move,3 BHK,Klark L,1691,3,2,113,Machabolaram
Built-up  Area,Ready To Move,1 BHK,Jae 2hu,400,1,1,11,Machabolaram
Built-up  Area,Ready To Move,5 Bedroom,,4200,5,2,225,Machabolaram
Super built-up  Area,18-Apr,2 BHK,ProdsWe,1357,2,1,115,Machabolaram
Super built-up  Area,18-Feb,3 BHK,Puwerun,1621,4,0,130,Machabolaram
Super built-up  Area,Ready To Move,2 BHK,,1200,2,2,40,Machabolaram
Built-up  Area,Ready To Move,2 BHK,,982,2,1,47.65,Machabolaram
Super built-up  Area,Ready To Move,2 BHK,Tahtsla,1694,2,2,125,Machabolaram
Super built-up  Area,Ready To Move,4 BHK,DSndsod,3425 - 3435,6,0,228.5,Machabolaram
Super built-up  Area,18-Nov,2 BHK,,1125,2,2,62,Machabolaram
Super built-up  Area,Ready To Move,3 BHK,BrontLa,2160,4,2,172,Machabolaram
Plot  Area,Ready To Move,4 Bedroom,,1204,4,1,125,Machabolaram
Super built-up  Area,19-Dec,3 BHK,GoityEt,1699,3,3,97,Machabolaram
Plot  Area,Ready To Move,3 Bedroom,,1200,2,0,150,Machabolaram
Super built-up  Area,19-Oct,4 BHK,SNontle,3067,4,2,230,Machabolaram
Super built-up  Area,Ready To Move,2 BHK,HMonymp,1200,2,1,78,Machabolaram
Super built-up  Area,Ready To Move,3 BHK,MenueNo,1430,2,2,56,Machabolaram
Built-up  Area,Ready To Move,1 Bedroom,,600,1,0,97.5,Machabolaram
Super built-up  Area,18-Dec,4 BHK,Prtates,2830 - 2882,5,0,145.5,Machabolaram
Super built-up  Area,18-Apr,3 BHK,Prarkun,1374,2,1,72,Machabolaram
Super built-up  Area,Ready To Move,4 BHK,,3366,4,,120,Machabolaram
Plot  Area,Ready To Move,4 Bedroom,,1500,2,1,450,Machabolaram
Super built-up  Area,Ready To Move,5 BHK,Pumesim,2849,5,0,300,Machabolaram
Super built-up  Area,Ready To Move,2 BHK,RInceeg,1243,2,2,46,Machabolaram
Plot  Area,Ready To Move,4 Bedroom,Adeatlm,5400,4,3,725,Machabolaram
Built-up  Area,Ready To Move,2 BHK,Pralmat,900,2,1,45,Machabolaram
Built-up  Area,18-Feb,4 Bedroom,,3385,4,,260,Machabolaram
Plot  Area,Ready To Move,2 Bedroom,,1200,2,0,79,Machabolaram
Super built-up  Area,Ready To Move,3 BHK,Naireru,1700,3,2,75,Machabolaram
Super built-up  Area,Ready To Move,3 BHK,Dhalsh ,1410,2,3,52.17,Machabolaram
Super built-up  Area,Ready To Move,4 BHK,,2600,4,3,260,Machabolaram
Super built-up  Area,Ready To Move,4 BHK,Zonce E,1884,4,2,120,Machabolaram
Super built-up  Area,18-Nov,2 BHK,VBn 2lm,726,2,1,35,Machabolaram
Built-up  Area,Ready To Move,2 BHK,DLhtsen,937,2,1,44,Machabolaram
Built-up  Area,Ready To Move,3 BHK,ManceEl,2372,3,,140,Machabolaram
Super built-up  Area,Ready To Move,4 BHK,GonumPl,3900,5,,360,Machabolaram
Super built-up  Area,Ready To Move,3 BHK,DSdorSp,1300,2,2,39,Machabolaram
Plot  Area,Ready To Move,3 Bedroom,,2200,4,2,105,Machabolaram
Super built-up  Area,Ready To Move,2 BHK,,1094,2,1,44,Machabolaram
Super built-up  Area,Ready To Move,2 BHK,,950,2,1,45.68,Machabolaram
Plot  Area,Ready To Move,3 Bedroom,,2400,3,2,190,Machabolaram
Built-up  Area,Ready To Move,3 BHK,Soisy D,1750,3,3,99,Machabolaram
Super built-up  Area,Ready To Move,2 BHK,Srire S,1090,2,2,59.8,Machabolaram
Super built-up  Area,Ready To Move,2 BHK,Feissx ,1004,2,1,49,Machabolaram
Plot  Area,18-Apr,8 Bedroom,,600,8,,70,Machabolaram
Super built-up  Area,Ready To Move,2 BHK,PuandHi,1339,2,2,71.5,Machabolaram
Super built-up  Area,Ready To Move,3 BHK,,1350,2,3,63,Machabolaram
Plot  Area,Ready To Move,3 Bedroom,,1200,3,0,70,Machabolaram
Super built-up  Area,Ready To Move,2 BHK,,1260,2,2,47.88,Machabolaram
Built-up  Area,Ready To Move,4 BHK,,2000,4,1,75,Machabolaram
Super built-up  Area,Ready To Move,2 BHK,,1026,2,1,49.95,Machabolaram
Built-up  Area,Ready To Move,2 BHK,,995,2,0,42,Machabolaram
Built-up  Area,Ready To Move,2 BHK,ARineun,1040,2,1,37,Machabolaram
Plot  Area,Ready To Move,4 Bedroom,,1260,4,2,65,Machabolaram
Super built-up  Area,Ready To Move,3 BHK,,1475,2,2,58.99,Machabolaram
Super built-up  Area,Ready To Move,2 BHK,,1020,2,3,48,Machabolaram
Super built-up  Area,Ready To Move,3 BHK,S2kaaan,1405,3,2,48.87,Machabolaram
Plot  Area,Ready To Move,4 Bedroom,,600,4,0,65,Machabolaram
Built-up  Area,18-Jul,3 BHK,Sryalan,1220,3,1,36.6,Machabolaram
Super built-up  Area,19-Mar,1 BHK,Unezes ,700,1,1,38,Machabolaram
Super built-up  Area,Ready To Move,8 BHK,,1150,9,,170,Machabolaram
Super built-up  Area,Ready To Move,2 BHK,Unateit,1150,2,2,58,Machabolaram
Super built-up  Area,Ready To Move,3 BHK,,1385,2,2,68.5,Machabolaram
Built-up  Area,Ready To Move,2 BHK,,980,2,1,38.19,Machabolaram
Built-up  Area,Ready To Move,3 BHK,Reodsnc,1395,3,3,82,Machabolaram
Plot  Area,Ready To Move,5 Bedroom,,690,4,1,83,Machabolaram
Super built-up  Area,Ready To Move,2 BHK,,1160,2,1,49,Machabolaram
Super built-up  Area,18-Dec,2 BHK,,1000,2,1,29.95,Machabolaram
Super built-up  Area,Ready To Move,2 BHK,,1200,2,2,52,Machabolaram
Super built-up  Area,19-Mar,3 BHK,Skume R,1533,3,1,98.18,Machabolaram
Super built-up  Area,Ready To Move,3 BHK,Brlms P,1656,3,2,75,Machabolaram
